                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     73,                0.56969,                 0.7104,                0.35818,                 0.8502,                0.94045,                0.89323,                0.96656,                0.88542,                0.94133,                0.89201,                0.96359,                0.80729,                0.47652,                0.57646,                 0.3626,                 0.8093,              0.0014327,              0.0014327,              0.0014327
                     74,                0.58674,                0.74451,                 0.3642,                0.85223,                0.94164,                0.89538,                0.96731,                0.89585,                0.94205,                0.89463,                0.96577,                0.84016,                0.44202,                  0.574,                0.34791,                0.80847,              0.0014294,              0.0014294,              0.0014294
                     75,                0.58108,                0.73814,                0.35992,                0.85324,                0.93966,                0.89926,                0.96545,                0.90145,                0.93795,                0.89706,                0.96187,                0.80914,                0.41914,                0.55758,                  0.344,                0.80565,              0.0014261,              0.0014261,              0.0014261
                     76,                0.56213,                0.70801,                0.35403,                0.84622,                0.94468,                0.89554,                0.96782,                0.89202,                0.94445,                0.89494,                0.96378,                0.79548,                0.47015,                0.55667,                0.35937,                0.80913,              0.0014228,              0.0014228,              0.0014228
                     77,                 0.5581,                0.71047,                0.34967,                0.84272,                0.93418,                0.90507,                0.96796,                0.89972,                0.94022,                0.90083,                0.96474,                0.81933,                0.44204,                0.53676,                 0.3339,                0.80519,              0.0014195,              0.0014195,              0.0014195
                     78,                0.57208,                0.72966,                0.35063,                0.84711,                0.93635,                0.90588,                0.96825,                0.89507,                0.93592,                0.90547,                0.96657,                0.82682,                0.45606,                0.54376,                0.34144,                 0.8058,              0.0014161,              0.0014161,              0.0014161
                     79,                0.56459,                0.72039,                0.34679,                0.84718,                0.93672,                0.90262,                0.96649,                0.87932,                0.93734,                0.90325,                0.96657,                 0.8066,                0.51868,                  0.601,                0.35149,                0.81893,              0.0014128,              0.0014128,              0.0014128
                     80,                0.56413,                0.73693,                0.34899,                0.85055,                0.95292,                0.89602,                0.96887,                0.88477,                0.95336,                0.89643,                0.96737,                0.80818,                0.51721,                0.58859,                0.34883,                 0.8164,              0.0014095,              0.0014095,              0.0014095
                     81,                0.55084,                0.69255,                0.34449,                0.84537,                0.94081,                0.88753,                0.96208,                0.88309,                0.93952,                0.88957,                0.96203,                0.81959,                0.49049,                0.56355,                0.36356,                  0.814,              0.0014062,              0.0014062,              0.0014062
                     82,                0.53679,                0.68323,                0.33113,                0.84362,                0.93845,                0.90253,                0.96957,                0.90128,                0.93933,                0.90264,                0.96719,                 0.8294,                0.43839,                0.55837,                0.33595,                0.80364,              0.0014029,              0.0014029,              0.0014029
                     83,                0.58165,                0.72764,                0.34984,                 0.8516,                0.93928,                0.89675,                0.96887,                0.89644,                0.93908,                0.89657,                0.96618,                0.82305,                0.46574,                0.54487,                0.34911,                0.80761,              0.0013996,              0.0013996,              0.0013996
                     84,                0.59182,                0.73127,                0.35812,                0.85561,                 0.9268,                0.90101,                0.96778,                0.86721,                0.92754,                 0.9006,                0.96675,                0.79682,                0.58137,                0.63091,                0.36897,                0.82581,              0.0013963,              0.0013963,              0.0013963
                     85,                0.59315,                0.73916,                0.35497,                0.85408,                0.94752,                0.88284,                0.96359,                0.90279,                0.94838,                0.88416,                0.96289,                0.84304,                0.41802,                0.55792,                 0.3434,                0.80551,               0.001393,               0.001393,               0.001393
                     86,                0.55993,                0.70987,                0.35102,                0.84404,                0.94249,                0.89399,                0.96762,                0.89492,                0.94506,                0.89259,                0.96698,                0.83498,                0.47015,                 0.5509,                0.35951,                0.80972,              0.0013897,              0.0013897,              0.0013897
                     87,                0.54655,                0.68843,                0.35022,                0.84327,                0.94328,                0.90118,                0.96877,                0.90275,                0.94391,                0.90182,                0.96749,                0.83036,                0.43856,                0.55319,                0.34686,                0.80619,              0.0013864,              0.0013864,              0.0013864
                     88,                0.54352,                0.69568,                0.34232,                0.84293,                0.94531,                0.90146,                0.96928,                0.90823,                0.94531,                0.90146,                0.96806,                0.83316,                0.39959,                 0.5317,                0.33627,                 0.8012,              0.0013831,              0.0013831,              0.0013831
                     89,                0.55036,                0.68781,                0.34202,                0.84363,                0.94237,                0.90383,                0.96903,                0.90313,                0.94305,                0.90446,                0.96827,                0.83091,                0.43866,                0.54294,                0.34361,                0.80289,              0.0013798,              0.0013798,              0.0013798
                     90,                  0.569,                0.71088,                0.35192,                0.84379,                 0.9447,                0.90528,                 0.9661,                0.89114,                0.94429,                0.90445,                0.96331,                0.81831,                0.46428,                0.56028,                0.34737,                0.80732,              0.0013765,              0.0013765,              0.0013765
                     91,                0.55436,                0.70874,                0.34384,                0.84625,                0.92739,                0.91335,                0.96982,                0.89628,                0.92666,                0.91227,                 0.9672,                0.81427,                0.44728,                0.56283,                0.34792,                0.80479,              0.0013732,              0.0013732,              0.0013732
                     92,                0.57405,                0.71808,                0.35171,                0.84838,                0.94434,                0.89931,                0.96679,                0.88165,                0.94447,                0.89789,                0.96278,                0.79442,                0.49872,                0.59465,                0.35935,                0.81206,              0.0013699,              0.0013699,              0.0013699
                     93,                0.57443,                0.71993,                0.35074,                 0.8515,                0.93996,                 0.8999,                 0.9676,                0.89368,                 0.9406,                0.90054,                0.96658,                 0.8246,                0.47798,                 0.5529,                0.35156,                0.81455,              0.0013666,              0.0013666,              0.0013666
                     94,                0.56394,                0.70245,                0.35138,                0.84731,                0.94355,                0.89811,                0.96889,                0.89384,                0.94461,                0.89915,                0.96778,                0.83267,                0.47634,                0.55911,                0.34238,                0.81259,              0.0013633,              0.0013633,              0.0013633
                     95,                0.56242,                0.69888,                0.34591,                0.84488,                0.94167,                0.89348,                0.96797,                0.90603,                0.94062,                0.89243,                0.96517,                 0.8379,                0.41232,                0.53901,                0.33582,                0.80366,                0.00136,                0.00136,                0.00136
                     96,                0.58716,                0.72315,                0.35525,                0.84981,                0.94379,                0.89562,                0.96814,                0.86157,                0.94788,                0.89102,                0.96388,                0.78951,                0.60296,                0.60911,                0.36954,                0.83186,              0.0013567,              0.0013567,              0.0013567
                     97,                 0.5704,                0.71665,                 0.3492,                0.84656,                0.94447,                 0.8936,                0.96804,                 0.8996,                0.94449,                0.89388,                0.96708,                0.82488,                 0.4427,                0.57254,                0.33581,                0.80769,              0.0013534,              0.0013534,              0.0013534
                     98,                0.56424,                0.71758,                0.34173,                0.84352,                0.94469,                0.90268,                0.96787,                 0.8983,                0.94425,                0.90227,                0.96634,                 0.8453,                0.44284,                0.53651,                0.34317,                0.80472,              0.0013501,              0.0013501,              0.0013501
                     99,                0.54704,                0.69062,                0.33693,                0.84467,                0.93466,                0.90477,                0.96456,                0.90519,                0.93576,                0.90504,                0.96255,                0.82655,                0.40078,                0.54968,                0.34072,                0.80216,              0.0013468,              0.0013468,              0.0013468
                    100,                0.54716,                0.69093,                0.33969,                0.84121,                0.93622,                0.90507,                0.96701,                0.90207,                 0.9358,                0.90467,                0.96443,                0.82634,                0.42897,                0.54866,                 0.3439,                0.80245,              0.0013435,              0.0013435,              0.0013435
                    101,                0.53684,                0.68081,                 0.3366,                0.84135,                0.94135,                0.90283,                0.96934,                0.90039,                0.93968,                0.90255,                0.96691,                0.81926,                0.46568,                0.56938,                0.33952,                0.80874,              0.0013402,              0.0013402,              0.0013402
                    102,                0.55308,                0.69999,                0.34395,                 0.8428,                0.93311,                0.90042,                0.96909,                0.89359,                0.93867,                0.89798,                0.96671,                0.82265,                 0.4877,                0.56012,                0.34615,                0.81195,              0.0013369,              0.0013369,              0.0013369
                    103,                0.52123,                 0.6638,                0.32646,                0.83864,                0.93776,                0.90525,                 0.9689,                0.90206,                0.93614,                0.90314,                0.96741,                0.82951,                0.44201,                0.54503,                0.33713,                0.80673,              0.0013336,              0.0013336,              0.0013336
                    104,                0.54843,                0.69427,                0.34351,                0.84141,                0.93697,                 0.8948,                 0.9684,                0.89817,                0.93716,                0.89419,                0.96716,                0.82486,                0.45667,                0.59571,                0.34515,                0.80784,              0.0013303,              0.0013303,              0.0013303
                    105,                0.56826,                0.71031,                0.35264,                0.84466,                0.94606,                0.89104,                0.96647,                  0.894,                0.94691,                0.89168,                0.96394,                0.82728,                0.45271,                 0.5461,                0.35987,                0.81145,               0.001327,               0.001327,               0.001327
                    106,                0.55911,                0.70042,                0.35012,                 0.8447,                0.94621,                0.89645,                0.96338,                0.89539,                0.94621,                0.89645,                0.96196,                0.81858,                0.45171,                0.55658,                0.36167,                0.81119,              0.0013237,              0.0013237,              0.0013237
                    107,                0.57494,                0.72056,                0.35631,                0.84831,                0.94448,                0.89985,                0.96858,                0.90524,                0.94643,                 0.9017,                0.96803,                0.83304,                0.42132,                0.54991,                0.34078,                 0.8015,              0.0013204,              0.0013204,              0.0013204
