                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    132,                0.42333,                0.33166,                 0.8562,                0.93395,                0.90543,                0.96755,                0.90968,                0.40363,                0.40726,                0.83751,              0.0012379,              0.0012379,              0.0012379
                    133,                0.39766,                0.31421,                0.84607,                0.93474,                 0.8972,                0.96321,                0.91562,                0.36171,                0.37798,                0.82554,              0.0012346,              0.0012346,              0.0012346
                    134,                0.39884,                0.31179,                0.84854,                 0.9395,                 0.8959,                0.96254,                0.90096,                0.40818,                0.36492,                0.83938,              0.0012313,              0.0012313,              0.0012313
                    135,                0.39195,                0.31317,                0.84986,                0.91375,                0.91326,                0.96384,                0.91123,                0.37223,                0.36424,                 0.8296,               0.001228,               0.001228,               0.001228
                    136,                0.39904,                0.31873,                0.84658,                0.92428,                0.90242,                0.96115,                0.90855,                0.37312,                0.36302,                0.83101,              0.0012247,              0.0012247,              0.0012247
                    137,                0.40635,                0.31893,                0.84845,                0.92248,                0.90874,                0.96238,                0.91508,                0.35498,                0.34867,                0.81852,              0.0012214,              0.0012214,              0.0012214
                    138,                0.39718,                0.31101,                0.84377,                0.92916,                0.90665,                0.96485,                0.91396,                0.36665,                0.35638,                0.82262,              0.0012181,              0.0012181,              0.0012181
                    139,                0.40622,                0.32024,                0.84565,                0.93746,                0.89539,                0.96615,                0.91049,                0.39601,                0.35713,                0.83362,              0.0012148,              0.0012148,              0.0012148
                    140,                 0.4071,                0.32458,                 0.8455,                0.93491,                0.89822,                0.96544,                0.91187,                0.37645,                0.37623,                0.82695,              0.0012115,              0.0012115,              0.0012115
                    141,                0.39949,                0.31213,                0.84783,                0.92316,                0.90843,                 0.9653,                0.91563,                0.36563,                0.38434,                 0.8233,              0.0012082,              0.0012082,              0.0012082
                    142,                0.39378,                0.30961,                0.84276,                0.93547,                0.89721,                0.96451,                0.91896,                 0.3461,                0.35121,                0.82346,              0.0012049,              0.0012049,              0.0012049
                    143,                0.39832,                0.31252,                0.84756,                0.93652,                0.88979,                0.96322,                0.91566,                0.34949,                0.37496,                0.81866,              0.0012016,              0.0012016,              0.0012016
                    144,                 0.3926,                0.30707,                0.84239,                0.94361,                0.88776,                0.95874,                0.90398,                0.38686,                0.36963,                0.82668,              0.0011983,              0.0011983,              0.0011983
                    145,                0.38879,                0.30201,                0.83996,                 0.9275,                0.90006,                0.96154,                0.91244,                0.36451,                0.35311,                0.82081,               0.001195,               0.001195,               0.001195
                    146,                0.40089,                0.31701,                0.84244,                 0.9394,                0.89389,                0.96234,                0.91227,                0.36808,                0.35717,                0.81949,              0.0011917,              0.0011917,              0.0011917
                    147,                0.39536,                 0.3167,                0.84436,                0.93454,                0.89864,                0.96372,                0.91269,                0.36662,                0.36607,                0.82294,              0.0011884,              0.0011884,              0.0011884
