                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     58,                  0.425,                0.57406,                0.37298,                0.85965,                0.93657,                0.89048,                0.96356,                0.91274,                0.93559,                0.89129,                0.96345,                0.89332,                0.37648,                0.51793,                0.37671,                0.82338,              0.0014822,              0.0014822,              0.0014822
                     59,                0.44637,                0.58627,                0.38935,                0.86073,                0.92943,                0.89961,                0.96552,                0.91293,                0.92932,                0.89974,                0.96553,                0.90258,                0.40008,                0.54531,                0.39333,                0.83118,              0.0014789,              0.0014789,              0.0014789
                     60,                 0.4484,                0.58719,                0.37833,                0.86249,                0.93551,                0.89648,                0.96446,                0.91289,                0.93426,                0.89765,                0.96448,                0.90125,                0.38664,                0.52244,                0.38088,                 0.8261,              0.0014756,              0.0014756,              0.0014756
                     61,                0.43878,                0.58083,                0.37433,                0.86349,                0.93965,                0.89832,                0.96809,                0.90512,                0.93965,                0.89832,                0.96872,                0.89553,                0.43664,                0.52021,                0.38428,                 0.8378,              0.0014723,              0.0014723,              0.0014723
                     62,                0.41758,                0.55724,                0.36289,                0.85131,                0.92411,                0.90597,                0.96849,                0.91004,                0.92309,                0.90493,                0.96863,                0.89695,                0.40868,                0.50972,                0.35595,                0.83022,               0.001469,               0.001469,               0.001469
                     63,                0.42838,                0.57232,                0.36796,                 0.8569,                0.94703,                0.88286,                0.96465,                0.90428,                0.94703,                0.88286,                0.96452,                0.89256,                0.42035,                0.52109,                 0.3713,                0.82922,              0.0014657,              0.0014657,              0.0014657
                     64,                0.41848,                0.54435,                0.36634,                0.85277,                0.93745,                0.89729,                0.96509,                0.91328,                0.93724,                0.89943,                0.96679,                0.89856,                0.39799,                0.50143,                0.35747,                0.82717,              0.0014624,              0.0014624,              0.0014624
                     65,                0.41971,                0.55064,                0.37055,                0.85053,                0.92535,                0.89129,                0.96008,                0.90602,                0.92491,                0.89089,                0.96011,                 0.8977,                0.41296,                0.50522,                0.37925,                0.82955,              0.0014591,              0.0014591,              0.0014591
                     66,                0.42657,                0.56432,                0.38681,                0.85434,                0.93692,                0.89826,                0.96693,                0.91045,                0.93647,                0.89785,                0.96718,                0.89275,                0.38735,                0.52408,                0.36135,                0.81983,              0.0014558,              0.0014558,              0.0014558
                     67,                0.44334,                0.58589,                0.39281,                0.86004,                0.92508,                0.90352,                0.96663,                0.91798,                0.92462,                 0.9038,                0.96664,                0.90504,                0.36912,                0.52125,                0.37509,                0.82091,              0.0014525,              0.0014525,              0.0014525
                     68,                0.42842,                0.57231,                0.36515,                0.85982,                0.93125,                0.90659,                0.96351,                0.91487,                0.93125,                0.90659,                0.96313,                0.90576,                0.37149,                0.49629,                0.38117,                 0.8199,              0.0014492,              0.0014492,              0.0014492
