                  epoch,        train/giou_loss,         train/cls_loss,          train/l1_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),          val/giou_loss,           val/cls_loss,            val/l1_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     55,                0.14359,                0.31175,                0.02837,                0.90319,                0.87941,                0.94822,                0.90214,                0.12329,                0.37432,                0.02541,              0.0014921,              0.0014921,              0.0014921
                     56,                0.14326,                0.31746,                0.02884,                0.90845,                 0.8775,                0.96346,                0.90545,                0.14191,                0.38758,                0.02863,              0.0014888,              0.0014888,              0.0014888
                     57,                0.14436,                0.31824,                0.03039,                0.90508,                0.86399,                0.95249,                0.90304,                0.13494,                0.38972,                0.02877,              0.0014855,              0.0014855,              0.0014855
                     58,                0.15554,                0.48634,                0.03117,                0.78892,                0.74833,                 0.8064,                0.71875,                0.31263,                0.53217,                0.09564,              0.0014822,              0.0014822,              0.0014822
                     59,                0.17214,                0.42943,                0.03839,                0.86494,                0.83835,                 0.9307,                0.79457,                0.21545,                0.45423,                0.06225,              0.0014789,              0.0014789,              0.0014789
                     60,                0.17693,                 0.3855,                0.03785,                 0.8626,                0.87088,                0.93719,                0.84942,                0.16942,                0.43498,                0.03663,              0.0014756,              0.0014756,              0.0014756
                     61,                0.17382,                0.37691,                0.03572,                0.90575,                0.87682,                0.95597,                0.88598,                0.14578,                0.43447,                0.02866,              0.0014723,              0.0014723,              0.0014723
                     62,                 0.1651,                0.34229,                0.03604,                0.89678,                0.88571,                0.95804,                0.90061,                0.14434,                0.40222,                0.03091,               0.001469,               0.001469,               0.001469
                     63,                0.16022,                0.33271,                0.03514,                0.89072,                0.89196,                0.95978,                0.90011,                0.14562,                 0.3862,                0.02964,              0.0014657,              0.0014657,              0.0014657
                     64,                0.15304,                0.33026,                0.03065,                0.89629,                0.89552,                0.96299,                0.90275,                0.14166,                0.40029,                 0.0274,              0.0014624,              0.0014624,              0.0014624
                     65,                0.15347,                0.33016,                0.03129,                0.90126,                0.87703,                0.95987,                 0.9073,                0.13001,                0.37402,                0.02652,              0.0014591,              0.0014591,              0.0014591
                     66,                0.14696,                0.32479,                 0.0288,                 0.8863,                0.89418,                0.96186,                0.90845,                0.13422,                0.39448,                0.02887,              0.0014558,              0.0014558,              0.0014558
