                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     39,                0.59921,                0.78064,                0.41402,                  0.858,                0.92125,                0.87447,                0.95247,                0.86761,                 0.9236,                0.87262,                0.94864,                0.79682,                0.49536,                0.62767,                0.43918,                0.81867,              0.0015449,              0.0015449,              0.0015449
                     40,                0.61947,                0.79283,                0.40857,                0.86244,                0.92621,                0.84717,                0.94329,                0.86482,                 0.9282,                0.84696,                0.94215,                0.78542,                0.47523,                0.65554,                0.45344,                0.82104,              0.0015416,              0.0015416,              0.0015416
                     41,                 0.5971,                0.77512,                0.40308,                0.85827,                0.92177,                0.90753,                0.96527,                0.88818,                0.92248,                0.90721,                 0.9639,                0.81824,                0.46027,                0.58859,                0.39977,                0.81279,              0.0015383,              0.0015383,              0.0015383
                     42,                0.62535,                0.80617,                0.41167,                0.86618,                0.94217,                0.82178,                0.94575,                0.87229,                0.94269,                0.82219,                0.94441,                0.79867,                0.47676,                0.61871,                0.45165,                0.81944,               0.001535,               0.001535,               0.001535
                     43,                0.61166,                0.79118,                0.40087,                0.86069,                0.93292,                0.86592,                0.96139,                0.88496,                0.93243,                0.86551,                0.95937,                0.79835,                0.48541,                0.65101,                0.40098,                0.82098,              0.0015317,              0.0015317,              0.0015317
                     44,                0.58983,                0.75778,                0.39514,                0.85578,                0.91206,                0.87343,                0.95642,                0.87096,                0.91129,                0.87332,                 0.9562,                0.80258,                0.51107,                0.57676,                0.41809,                0.81746,              0.0015284,              0.0015284,              0.0015284
                     45,                0.59944,                0.75561,                0.39948,                0.85628,                0.93307,                 0.8865,                0.96246,                0.86192,                0.93265,                0.88609,                0.96093,                0.79841,                 0.5289,                0.62827,                0.41206,                0.83272,              0.0015251,              0.0015251,              0.0015251
                     46,                0.58427,                0.75513,                0.38831,                0.85354,                0.93112,                0.89433,                0.96632,                0.86289,                0.93112,                0.89433,                0.96548,                0.81741,                0.54522,                0.60059,                0.40895,                0.82561,              0.0015218,              0.0015218,              0.0015218
                     47,                0.61029,                0.76985,                0.39403,                0.86111,                 0.9371,                0.88651,                0.96443,                0.87843,                0.93738,                0.88562,                0.96336,                 0.8214,                0.50031,                 0.6216,                 0.4078,                0.82403,              0.0015185,              0.0015185,              0.0015185
                     48,                0.58275,                 0.7301,                0.38593,                0.85746,                0.93458,                 0.8937,                0.96712,                0.88632,                 0.9331,                0.89417,                 0.9663,                0.83985,                0.47163,                0.56876,                0.40597,                0.81706,              0.0015152,              0.0015152,              0.0015152
                     49,                0.57371,                0.73567,                 0.3872,                0.85141,                  0.929,                0.89579,                0.96567,                0.88986,                0.93106,                0.89126,                0.96321,                0.82681,                0.47859,                0.59298,                0.41205,                0.81612,              0.0015119,              0.0015119,              0.0015119
                     50,                0.57909,                0.74922,                0.38201,                0.85204,                0.93236,                0.88583,                 0.9649,                0.88092,                 0.9304,                0.88398,                0.96267,                0.80113,                0.50074,                0.62422,                0.43419,                   0.82,              0.0015086,              0.0015086,              0.0015086
                     51,                0.58244,                 0.7514,                0.38619,                0.85171,                0.93569,                0.89314,                0.96493,                0.88482,                0.93377,                0.89117,                  0.963,                0.81876,                0.47409,                 0.6203,                 0.3981,                0.81841,              0.0015053,              0.0015053,              0.0015053
                     52,                0.57213,                0.73808,                0.38195,                0.85034,                0.91926,                0.90561,                0.96534,                0.86969,                0.91926,                0.90561,                0.96435,                0.80184,                0.52822,                0.61196,                0.41535,                0.82153,               0.001502,               0.001502,               0.001502
                     53,                0.59786,                0.76226,                 0.3843,                0.85539,                0.92704,                0.88937,                 0.9567,                0.87442,                0.92746,                0.88977,                0.95612,                0.80258,                0.48425,                0.59959,                0.42928,                0.81633,              0.0014987,              0.0014987,              0.0014987
                     54,                0.60035,                0.76366,                 0.3847,                0.85499,                0.93857,                0.88935,                0.96452,                0.87603,                0.93857,                0.88935,                0.96311,                0.81614,                0.51697,                0.59456,                0.40937,                0.82006,              0.0014954,              0.0014954,              0.0014954
                     55,                0.60832,                0.79531,                0.38763,                0.86305,                  0.938,                0.90083,                0.96537,                0.87787,                0.93838,                0.89725,                0.96169,                 0.7877,                0.50873,                0.63721,                 0.3849,                0.82502,              0.0014921,              0.0014921,              0.0014921
                     56,                0.58328,                0.76573,                0.37768,                0.85332,                0.94227,                0.89413,                 0.9677,                0.89445,                0.94106,                0.89313,                0.96479,                0.80056,                 0.4476,                0.58438,                0.35941,                0.81339,              0.0014888,              0.0014888,              0.0014888
                     57,                0.60117,                0.76821,                0.38335,                0.85551,                0.94153,                0.90005,                0.96428,                 0.8946,                0.94245,                0.89757,                  0.962,                0.81653,                0.45463,                0.59136,                0.36799,                0.81435,              0.0014855,              0.0014855,              0.0014855
