                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    102,                0.58203,                0.34372,                0.85909,                0.92911,                0.90577,                0.96689,                0.87142,                0.56771,                0.39042,                0.82618,              0.0013369,              0.0013369,              0.0013369
                    103,                0.58669,                0.35518,                0.85277,                0.92956,                0.90636,                0.96893,                0.90354,                0.43187,                0.37225,                0.80242,              0.0013336,              0.0013336,              0.0013336
                    104,                0.55847,                0.33972,                0.85099,                0.91949,                0.86126,                0.94621,                0.87708,                0.44865,                0.38403,                0.81373,              0.0013303,              0.0013303,              0.0013303
                    105,                0.54726,                0.33752,                 0.8462,                0.92989,                0.89658,                0.96662,                0.90341,                0.42162,                0.33673,                0.80468,               0.001327,               0.001327,               0.001327
                    106,                0.55845,                0.33966,                0.85679,                0.93394,                0.89848,                 0.9683,                 0.9099,                0.40591,                0.32943,                0.80045,              0.0013237,              0.0013237,              0.0013237
                    107,                0.56623,                0.33409,                 0.8507,                0.93683,                0.90201,                0.96924,                0.89779,                0.49034,                0.34993,                0.80837,              0.0013204,              0.0013204,              0.0013204
                    108,                0.57076,                0.33613,                0.85025,                0.93796,                0.90205,                0.96944,                0.90899,                0.42306,                 0.3316,                0.80082,              0.0013171,              0.0013171,              0.0013171
                    109,                0.56807,                0.33705,                0.85375,                0.92078,                0.91168,                0.96752,                0.89339,                0.49751,                0.34632,                0.81067,              0.0013138,              0.0013138,              0.0013138
                    110,                0.56455,                0.33469,                0.84936,                0.94084,                0.89594,                0.96819,                0.90382,                0.45026,                0.34699,                0.80507,              0.0013105,              0.0013105,              0.0013105
                    111,                 0.5659,                 0.3374,                0.85325,                0.93598,                0.90286,                0.96806,                0.89797,                 0.4626,                 0.3461,                0.80533,              0.0013072,              0.0013072,              0.0013072
                    112,                 0.5615,                0.33312,                0.84991,                0.93945,                0.90176,                0.96824,                0.89702,                 0.4511,                0.34914,                0.80427,              0.0013039,              0.0013039,              0.0013039
                    113,                0.54233,                0.33071,                0.84454,                 0.9358,                0.90622,                0.96862,                0.89879,                0.45076,                0.35727,                0.80742,              0.0013006,              0.0013006,              0.0013006
                    114,                0.53782,                0.32295,                0.84577,                0.93918,                 0.9025,                0.96942,                0.90152,                0.43877,                0.34178,                0.80346,              0.0012973,              0.0012973,              0.0012973
                    115,                0.53294,                0.32187,                0.84598,                0.91857,                0.92025,                0.96854,                 0.9019,                0.45997,                 0.3498,                0.80859,               0.001294,               0.001294,               0.001294
                    116,                0.57713,                0.34085,                0.85187,                0.94858,                0.89184,                0.96613,                0.88698,                0.50261,                0.36721,                 0.8124,              0.0012907,              0.0012907,              0.0012907
                    117,                0.55343,                0.32936,                0.84824,                0.94644,                0.88856,                0.96344,                0.87556,                0.54301,                0.36666,                0.82392,              0.0012874,              0.0012874,              0.0012874
